sf,lf_1,source_1,cui_1,semtypes_1,semgroups_1,lf_2,source_2,cui_2,semtypes_2,semgroups_2,is_train
AERS,annualized event rates,pubmed,C0441471|C0871208|C1521828|C4019010,Activity|Clinical Attribute|Event|Quantitative Concept,Activities & Behaviors|Concepts & Ideas|Physiology,automatic endoscopic reprocessors,pubmed,C0014245|C0205554|C0442418|C1709913,Diagnostic Procedure|Functional Concept|Organization|Spatial Concept,Concepts & Ideas|Organizations|Procedures,0
LEACH,lowenergy adaptive clustering hierarchy,pubmed,C0009085|C0231193|C0699032,Functional Concept|Research Activity,Concepts & Ideas|Procedures,low energy adaptive cluster hierarchy,pubmed,C0231193|C0699032|C1555715|C1704332|C4289285,Functional Concept|Intellectual Product|Quantitative Concept,Concepts & Ideas,0
QW,quality world,pubmed,C0332306|C2700280,Population Group|Qualitative Concept,Concepts & Ideas|Living Beings,wake island,umls,C0043011,Geographic Area,Geographic Areas,0
IBC,intelligent bayes classifier,pubmed,C0021704|C4291659,Functional Concept|Mental Process,Concepts & Ideas|Physiology,itmatbroadcandidate gene association resource care,pubmed,C0004083|C0035201|C0439849|C0596306|C0699792|C0920536|C1328885|C1947933,Activity|Idea or Concept|Intellectual Product|Manufactured Object|Mental Process|Occupation or Discipline|Phenomenon or Process|Qualitative Concept|Social Behavior,Activities & Behaviors|Concepts & Ideas|Objects|Occupations|Phenomena|Physiology,0
PPEG,palmitoyl polyethylene glycol,pubmed,C0032483,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,polypolyethylene glycol methyl ether methacrylate,pubmed,C0063127|C2584702,Biomedical or Dental Material|Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,0
LC,laser catheter,pubmed,C0023089|C0085590|C0458142|C1023865|C1706315,Manufactured Object|Medical Device|Phenomenon or Process|Plant,Devices|Living Beings|Objects|Phenomena,leeuwin current,wikipedia,C0521116|C1705970,Natural Phenomenon or Process|Temporal Concept,Concepts & Ideas|Phenomena,0
FOO,foot orthoses only,pubmed,C0205171|C1283250|C1720467,Intellectual Product|Medical Device|Quantitative Concept,Concepts & Ideas|Devices,frontalisorbicularis oculi,pubmed,C0015392|C0700042,"Body Location or Region|Body Part, Organ, or Organ Component",Anatomy,0
MAC,mitochondrionassociated adherens complex location,umls,C0439855|C0450429|C1515974|C1704241|C4284930|C4284931,Body Location or Region|Chemical Viewed Structurally|Finding|Qualitative Concept|Spatial Concept,Anatomy|Chemicals & Drugs|Concepts & Ideas|Disorders,mammalian cells express nine transmembrane ac,pubmed,C0001246|C0003354|C0185117|C0205455|C0491816|C1167322|C1412573|C1512977|C2000891|C2752508|C3539770|C3854321,"Amino Acid, Peptide, or Protein|Cell|Cell Component|Element, Ion, or Isotope|Enzyme|Gene or Genome|Geographic Area|Idea or Concept|Medical Device|Quantitative Concept|Therapeutic or Preventive Procedure",Anatomy|Chemicals & Drugs|Concepts & Ideas|Devices|Genes & Molecular Sequences|Geographic Areas|Procedures,0
TFTS,tight filum terminale syndrome,pubmed,C0016109|C0039082|C0439816|C0453911,"Body Part, Organ, or Organ Component|Disease or Syndrome|Manufactured Object|Qualitative Concept",Anatomy|Concepts & Ideas|Disorders|Objects,thyroid functions,pubmed,C0031843|C0040132|C0542341|C0700205|C1705273|C3540038|C4552744,"Body Part, Organ, or Organ Component|Daily or Recreational Activity|Functional Concept|Indicator, Reagent, or Diagnostic Aid|Intellectual Product|Organism Attribute|Physiologic Function",Activities & Behaviors|Anatomy|Chemicals & Drugs|Concepts & Ideas|Physiology,0
ACS,annual citations,pubmed,C0332181|C0552371,Intellectual Product|Temporal Concept,Concepts & Ideas,anticardial serum,pubmed,C0229671|C0230185|C1546774|C1550100,Body Location or Region|Body Substance|Intellectual Product,Anatomy|Concepts & Ideas,0
LARGE,large,umls,C0549177,Quantitative Concept,Concepts & Ideas,loss of function mutation in a putative glycosyltransferase gene,pubmed,C1333828|C4505106,Gene or Genome|Genetic Function,Genes & Molecular Sequences|Physiology,0
BPF,bradykinin potentiating factor,pubmed,C0006100|C0279023|C1521761|C1537501|C2827422,"Amino Acid, Peptide, or Protein|Conceptual Entity|Functional Concept|Gene or Genome|Hormone|Therapeutic or Preventive Procedure",Chemicals & Drugs|Concepts & Ideas|Genes & Molecular Sequences|Procedures,bergamot polyphenolic fraction,pubmed,C0725330|C1008146|C1264633|C1554103,Intellectual Product|Pharmacologic Substance|Plant|Quantitative Concept,Chemicals & Drugs|Concepts & Ideas|Living Beings,0
FCA,flowcytometric assay,pubmed,C0005507|C0243073|C1510438,Laboratory Procedure|Qualitative Concept,Concepts & Ideas|Procedures,ferrous ion chelating assay,pubmed,C0005507|C0243073|C1510438|C3537131|C4708436,"Element, Ion, or Isotope|Laboratory Procedure|Molecular Function|Qualitative Concept",Chemicals & Drugs|Concepts & Ideas|Physiology|Procedures,0
IH,immunohistochemical technique,pubmed,C0449851,Functional Concept,Concepts & Ideas,infantile hydrocephalus,pubmed,C0020255|C0231330|C1963137|C2939166,Disease or Syndrome|Finding|Qualitative Concept|Temporal Concept,Concepts & Ideas|Disorders,0
NYU,new york university,pubmed,C0027976|C0041740,Geographic Area|Manufactured Object|Organization,Geographic Areas|Objects|Organizations,number of years undiagnosed,pubmed,C0237753|C0439234|C0449788|C1408353,Finding|Quantitative Concept|Temporal Concept,Concepts & Ideas|Disorders,0
IHOP,initial headspace oxygen percentage,pubmed,C0030054|C0205265|C0439165|C1279901|C1549488|C1555582|C1561533|C1705685,"Biologically Active Substance|Element, Ion, or Isotope|Functional Concept|Idea or Concept|Pharmacologic Substance|Qualitative Concept|Quantitative Concept|Temporal Concept",Chemicals & Drugs|Concepts & Ideas,ih operations,pubmed,C0004048|C0038895|C3244305|C3244306,Functional Concept|Intellectual Product|Organism Function,Concepts & Ideas|Physiology,0
NIPPV,noninvasive intermittent positivepressure ventilation,pubmed,C0205267|C1997883,Temporal Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Procedures,noninvasive positive pressure mechanical ventilation,pubmed,C0443254|C3164735,Functional Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Procedures,0
LGN,lateral ganglionic eminence,pubmed,C0017067|C0205093|C1184742,"Body Part, Organ, or Organ Component|Spatial Concept",Anatomy|Concepts & Ideas,lateral geniculate,pubmed,C0205093,Spatial Concept,Concepts & Ideas,0
FLAG,fluorescein angiography,pubmed,C0016313,Diagnostic Procedure,Procedures,faculty learning about geriatrics,pubmed,C0013621|C0015535|C0017469|C0023185,Biomedical Occupation or Discipline|Educational Activity|Mental Process|Professional or Occupational Group,Living Beings|Occupations|Physiology|Procedures,0
ANI,average nucleotide identity|average nucleotide identities,pubmed,C0028630|C0424215|C1510992|C2825518,"Mental Process|Nucleic Acid, Nucleoside, or Nucleotide|Quantitative Concept",Chemicals & Drugs|Concepts & Ideas|Physiology,average nucleotide identity values,pubmed,C0028630|C0042295|C0424215|C1510992|C2825518,"Mental Process|Nucleic Acid, Nucleoside, or Nucleotide|Qualitative Concept|Quantitative Concept",Chemicals & Drugs|Concepts & Ideas|Physiology,0
SAK,sensitivity to abik,pubmed,C0332324,Functional Concept,Concepts & Ideas,plk4 wt allele,umls,C3889275,Gene or Genome,Genes & Molecular Sequences,0
DISO,disopyramide phosphate,pubmed,C0700534,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,disopyramide,pubmed,C0012702,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,0
GETS,gastropancreatoneuroendocrine tumours,pubmed,C0027651,Neoplastic Process,Disorders,genetic evolutionary taboo search,pubmed,C0039227|C0282688|C1552603|C1561609|C1706202,Activity|Biologic Function|Idea or Concept|Intellectual Product,Activities & Behaviors|Concepts & Ideas|Phenomena,0
LCL,liquid crystal laser,wikipedia,C0023089|C0302603|C0458142|C1023865|C1706315,Chemical Viewed Structurally|Manufactured Object|Medical Device|Phenomenon or Process|Plant,Chemicals & Drugs|Devices|Living Beings|Objects|Phenomena,lectins from lentil|lens culinaris lectin,pubmed,C0064755,"Amino Acid, Peptide, or Protein|Biologically Active Substance",Chemicals & Drugs,0
MTG,malignant tumor group,pubmed,C0006826|C0441833|C0687744|C1257890|C1306459|C1519504|C1705428|C1705429,Conceptual Entity|Functional Concept|Idea or Concept|Neoplastic Process|Population Group,Concepts & Ideas|Disorders|Living Beings,middle temporal gyrus|middle temporal gyri,pubmed,C0152310,"Body Part, Organ, or Organ Component",Anatomy,0
POR,polyspermic oocyte rate,pubmed,C0029045|C0871208|C1521828,Activity|Cell|Quantitative Concept,Activities & Behaviors|Anatomy|Concepts & Ideas,prostheticorthotic rehabilitation,pubmed,C0034991|C0034992|C1306847,Biomedical Occupation or Discipline|Functional Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Occupations|Procedures,0
FATE,focus assessed transthoracic echo,pubmed,C0058928|C0205234|C0205503|C1285542|C1516048|C1655045|C4049694,Activity|Eukaryote|Functional Concept|Spatial Concept|Therapeutic or Preventive Procedure,Activities & Behaviors|Concepts & Ideas|Living Beings|Procedures,fate1 gene,umls,C1539479,Gene or Genome,Genes & Molecular Sequences,0
NBT,normal breast tissue|normal breast tissues,pubmed,C0444070|C1521747,"Body Part, Organ, or Organ Component|Tissue",Anatomy,number born in total,pubmed,C0237753|C0439175|C0439810|C0449788|C1148523,Organism Function|Qualitative Concept|Quantitative Concept,Concepts & Ideas|Physiology,0
GO,gothenburg potential aerosol mass,pubmed,C0001712|C0577559|C0577573|C1096155|C1112870|C1306372|C3152252|C3245505|C3539882|C4283905,Biomedical or Dental Material|Disease or Syndrome|Finding|Intellectual Product|Manufactured Object|Qualitative Concept|Quantitative Concept|Sign or Symptom,Chemicals & Drugs|Concepts & Ideas|Disorders|Objects,greening organism,pubmed,C0029235|C0332583|C3812802,Finding|Organism|Qualitative Concept,Concepts & Ideas|Disorders|Living Beings,0
CRIS,crash record information system,pubmed,C0021428|C0034869|C3853788,Intellectual Product|Quantitative Concept,Concepts & Ideas,ca2release from intracellular stores,pubmed,C0175996|C0178719|C1698986|C4522246,Cell Component|Functional Concept|Health Care Activity|Spatial Concept,Anatomy|Concepts & Ideas|Procedures,0
FAC,frequency amplitude characteristics,pubmed,C0376249|C0439603|C0871396|C1521970|C1561548|C1705502|C2346753|C3898838|C4321352,Intellectual Product|Qualitative Concept|Quantitative Concept|Spatial Concept|Temporal Concept,Concepts & Ideas,functional abdominal complaints,pubmed,C0000726|C0262491,Body Location or Region|Sign or Symptom,Anatomy|Disorders,0
MCTD,mediumchain tag diet,pubmed,C0012155|C0012159|C0037293|C1519433|C1710492|C2983588|C3668949|C4551445,Food|Gene or Genome|Health Care Activity|Intellectual Product|Neoplastic Process|Therapeutic or Preventive Procedure,Concepts & Ideas|Disorders|Genes & Molecular Sequences|Objects|Procedures,mediastinal chest tube drainage,pubmed,C0008034|C3879649,Medical Device,Devices,0
LVDD,left ventricular hypertrophy and diastolic dysfunction,pubmed,C0149721|C0520863|C3484363,Clinical Attribute|Disease or Syndrome|Pathologic Function,Disorders|Physiology,left ventricular inner diastolic diameter,pubmed,C0012000|C0205091|C0443246|C1141887|C1552822,Clinical Attribute|Diagnostic Procedure|Functional Concept|Spatial Concept,Concepts & Ideas|Physiology|Procedures,0
SSX,synovial sarcoma x|synovial sarcoma x breakpoint,pubmed,C0039101|C0278660|C0279982,Neoplastic Process,Disorders,synovial sarcoma x breakpoint family,pubmed,C0015576|C0039101|C0278660|C0279982|C1704727,Conceptual Entity|Family Group|Neoplastic Process,Concepts & Ideas|Disorders|Living Beings,0
KSB,knowledge sharing behaviour,pubmed,C0004927|C0237876|C0376554|C2707008,Behavior|Clinical Attribute|Intellectual Product|Social Behavior,Activities & Behaviors|Concepts & Ideas|Physiology,knotted suture bridge|knotted suture bridging,pubmed,C0009068|C0038969|C0456378|C0502420|C0560032,Body Space or Junction|Medical Device|Quantitative Concept|Therapeutic or Preventive Procedure,Anatomy|Concepts & Ideas|Devices|Procedures,0
ENDO,endotoxin,pubmed,C0014264,Hazardous or Poisonous Substance|Organic Chemical,Chemicals & Drugs,endotoxemia during normovolemia,pubmed,C0232091|C0376618,Finding|Physiologic Function,Disorders|Physiology,0
VEA,vertical electron affinity|vertical electron affinities,pubmed,C0205128|C0678603,Natural Phenomenon or Process|Spatial Concept,Concepts & Ideas|Phenomena,ventricular ectopic activity,pubmed,C0151636,Disease or Syndrome,Disorders,0
GAGE,graded activity and group education,pubmed,C0150375|C0205177|C0439167|C0441655|C0441800|C0919553|C1561536|C3668946|C4049938|C4049939,Activity|Classification|Educational Activity|Finding|Idea or Concept|Intellectual Product|Laboratory Procedure|Qualitative Concept|Quantitative Concept,Activities & Behaviors|Concepts & Ideas|Disorders|Procedures,gelatin acrylamide gel electrophoresis,pubmed,C0017237|C0050587|C0596607|C1145617,"Amino Acid, Peptide, or Protein|Food|Hazardous or Poisonous Substance|Laboratory Procedure|Organic Chemical|Pharmacologic Substance",Chemicals & Drugs|Objects|Procedures,0
DEWAR,dewar pyrimidone,pubmed,C1707728|C1880296,Manufactured Object|Quantitative Concept,Concepts & Ideas|Objects,dewar device,umls,C1707728,Manufactured Object,Objects,0
INTL,intelectin 1,pubmed,C0968453|C1425400,"Amino Acid, Peptide, or Protein|Gene or Genome|Immunologic Factor",Chemicals & Drugs|Genes & Molecular Sequences,itln1 wt allele,umls,C4084734,Gene or Genome,Genes & Molecular Sequences,0
CHEI,chromatographic hydrophobic and electrostatic interaction index,pubmed,C0008550|C0302647|C0376534|C0598629|C0600653|C0918012|C1552854|C1637833|C1704675|C2986546,Diagnostic Procedure|Functional Concept|Idea or Concept|Intellectual Product|Laboratory Procedure|Medical Device|Natural Phenomenon or Process|Qualitative Concept|Quantitative Concept,Concepts & Ideas|Devices|Phenomena|Procedures,class of acetylcholinesterase inhibitors,pubmed,C0001046|C0456387|C1518526|C1705943,Classification|Conceptual Entity|Intellectual Product|Pharmacologic Substance,Chemicals & Drugs|Concepts & Ideas,0
LMT,lipidmodifying therapy,pubmed,C0039798|C0087111|C1363945,Finding|Functional Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Disorders|Procedures,learning memory tasks|learning memory task,pubmed,C1154338|C3540678,Mental Process|Occupational Activity,Activities & Behaviors|Physiology,0
HBSAB,hepatitisb surface antibody|hbv surface antibody,pubmed,C0034789,"Amino Acid, Peptide, or Protein|Immunologic Factor|Receptor",Chemicals & Drugs,hepatitis b surface antibody,pubmed,C0019158|C0019159|C0019161|C0034789|C0205148,"Amino Acid, Peptide, or Protein|Disease or Syndrome|Immunologic Factor|Receptor|Spatial Concept",Chemicals & Drugs|Concepts & Ideas|Disorders,0
RFT,radiofrequency therapy,pubmed,C4704842,Therapeutic or Preventive Procedure,Procedures,radiofrequency thermocoagualtion,pubmed,C2347883,Natural Phenomenon or Process,Phenomena,0
DCF,docetaxel cisplatin plus 5fluorouracil|docetaxel cisplatin plus 5fu,pubmed,C0016360|C0332287|C1880380,"Functional Concept|Nucleic Acid, Nucleoside, or Nucleotide|Pharmacologic Substance|Therapeutic or Preventive Procedure",Chemicals & Drugs|Concepts & Ideas|Procedures,doubleclad optical fiber,pubmed,C1708050|C2355578,Manufactured Object,Objects,0
DHPG,dihydroxy22 propoxymethyl guanine|dihydroxy propoxymethyl guanine,pubmed,C0018321,"Nucleic Acid, Nucleoside, or Nucleotide",Chemicals & Drugs,34dihydroxyphenylglycol measurement,umls,C0242485,Functional Concept,Concepts & Ideas,0
GFS,government flying service,pubmed,C0018104|C0441659|C0557854|C0677530|C2825316|C3245478|C3854060,Daily or Recreational Activity|Idea or Concept|Manufactured Object|Occupational Activity|Organization|Phenomenon or Process,Activities & Behaviors|Concepts & Ideas|Objects|Organizations|Phenomena,glucose and fructose solutionsupplemented,pubmed,C0016745|C0017725,Biologically Active Substance|Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,0
VBG,vita bleachedguide,pubmed,C0373745,Laboratory Procedure,Procedures,vertical banded gastroplasties|vertical banded gastroplasty,pubmed,C0729258,Therapeutic or Preventive Procedure,Procedures,0
PTT,passive thermoacoustic tomography,pubmed,C3686820|C3897364,Diagnostic Procedure|Qualitative Concept,Concepts & Ideas|Procedures,percutaneous tube thoracostomy,pubmed,C0189476|C0522523,Spatial Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Procedures,0
DOD,death or dependency,pubmed,C0011065|C0011546|C1306577|C1546937|C4082313|C4552775,Finding|Idea or Concept|Mental Process|Organism Function,Concepts & Ideas|Disorders|Physiology,pin1 wt allele,umls,C3890011,Gene or Genome,Genes & Molecular Sequences,0
OOC,oxirane oxygen content,pubmed,C0015087|C0391841|C0489602|C0523806,Clinical Attribute|Finding|Hazardous or Poisonous Substance|Laboratory Procedure|Organic Chemical,Chemicals & Drugs|Disorders|Physiology|Procedures,olfactory occlusion,pubmed,C0001168|C0011382|C0028778|C0037361|C0439826|C0441597|C1110554|C1947917,Acquired Abnormality|Functional Concept|Organ or Tissue Function|Organism Function|Pathologic Function,Concepts & Ideas|Disorders|Physiology,0
IAM,ideal amplifier model,pubmed,C0002684|C1512612|C1706099|C3161035|C3274659|C3714583|C3853906|C3888061,Conceptual Entity|Intellectual Product|Manufactured Object|Medical Device|Qualitative Concept,Concepts & Ideas|Devices|Objects,individual adjustment method,pubmed,C0025663|C0376209|C0449851|C0871511,Functional Concept|Individual Behavior|Intellectual Product|Laboratory Procedure,Activities & Behaviors|Concepts & Ideas|Procedures,0
DCDA,dcyd deaminase,pubmed,C0011485|C0582118,"Amino Acid, Peptide, or Protein|Enzyme|Nucleic Acid, Nucleoside, or Nucleotide",Chemicals & Drugs,deoxycytidine deaminase,pubmed,C0057421|C1143167,"Amino Acid, Peptide, or Protein|Enzyme",Chemicals & Drugs,0
EHMC,exercise hypogonadal male condition,pubmed,C0012634|C0015259|C0086582|C0348080|C1522704|C1705253|C1706180|C1706428|C1706429|C3864998,Clinical Attribute|Conceptual Entity|Daily or Recreational Activity|Disease or Syndrome|Organism Attribute|Qualitative Concept|Therapeutic or Preventive Procedure,Activities & Behaviors|Concepts & Ideas|Disorders|Physiology|Procedures,ethylhexyl methoxycinnamate|ethylhexyl methoxy cinnamate,pubmed,C1870158,Organic Chemical,Chemicals & Drugs,0
OCPD,obsessivecompulsive pd,pubmed,C4553228|C4553229,Intellectual Product,Concepts & Ideas,obsessivecompulsive personality disorders|obsessivecompulsive personality disorder,pubmed,C0031212,Mental or Behavioral Dysfunction,Disorders,0
GDD,goaldirected design,pubmed,C1707689|C2983265,Activity|Intellectual Product,Activities & Behaviors|Concepts & Ideas,gene dispersion distance,pubmed,C0012751|C0017337|C0332624,Gene or Genome|Quantitative Concept|Spatial Concept,Concepts & Ideas|Genes & Molecular Sequences,0
PCX,polymer cation exchange resin,pubmed,C0007445|C0032521|C4521911,Biomedical or Dental Material|Chemical Viewed Structurally|Organic Chemical|Qualitative Concept,Chemicals & Drugs|Concepts & Ideas,pellet charge exchange,pubmed,C0007961|C0441436|C0678640|C1706128|C1706211|C1998480|C4019011,Clinical Attribute|Manufactured Object|Organism Attribute|Quantitative Concept|Social Behavior,Activities & Behaviors|Concepts & Ideas|Objects|Physiology,0
ATLS,advance traumatic life support,pubmed,C0332663|C0521300|C0725066|C3854260,Functional Concept|Medical Device|Temporal Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Devices|Procedures,advanced trauma life support care,umls,C1947933|C3494237,Activity|Health Care Activity,Activities & Behaviors|Procedures,0
VEF,virtual photon energy fluence model,pubmed,C0086805|C0424589|C0542479|C1442080|C1553497|C3161035|C3274659|C3714583|C3853906|C4330907,Conceptual Entity|Finding|Health Care Activity|Intellectual Product|Natural Phenomenon or Process|Quantitative Concept|Substance,Concepts & Ideas|Disorders|Objects|Phenomena|Procedures,ventricular ejection fraction,pubmed,C0042508,Laboratory or Test Result,Phenomena,0
SWEAT,sweat,umls,C0038984|C0038990,Body Substance|Finding,Anatomy|Disorders,senior walking environmental assessment tool,pubmed,C0014406|C0080331|C0336791|C0558004|C1160972|C1705825|C2827396|C4283795|C4321241|C4321242,Daily or Recreational Activity|Health Care Activity|Idea or Concept|Intellectual Product|Manufactured Object|Spatial Concept|Therapeutic or Preventive Procedure,Activities & Behaviors|Concepts & Ideas|Objects|Procedures,0
NDM,ndodecyl morpholine,pubmed,C0026560|C0026561,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,needle dry mass,pubmed,C0011682|C0027551|C0205222|C0577559|C0577573|C1096155|C1306372|C1512080|C1882041|C3152252|C3539882|C4283905,Disease or Syndrome|Finding|Intellectual Product|Medical Device|Natural Phenomenon or Process|Qualitative Concept|Quantitative Concept|Sign or Symptom|Spatial Concept,Concepts & Ideas|Devices|Disorders|Phenomena,0
FBM,family burden module,pubmed,C0015576|C1704727|C1709061|C2828008|C3542953,Conceptual Entity|Family Group|Idea or Concept|Intellectual Product,Concepts & Ideas|Living Beings,fat body mass,pubmed,C3656665,Organism Attribute,Physiology,0
ABOVE,about 12 23 ev below,pubmed,C0014522|C0332232|C0450348|C0560135,Neoplastic Process|Qualitative Concept|Quantitative Concept,Concepts & Ideas|Disorders,upper,umls,C1282910,Spatial Concept,Concepts & Ideas,0
SAKA,sakacin a,pubmed,C0141415,"Amino Acid, Peptide, or Protein",Chemicals & Drugs,stressactivated kinase,pubmed,C0031727|C4521566,"Amino Acid, Peptide, or Protein|Enzyme|Qualitative Concept",Chemicals & Drugs|Concepts & Ideas,0
BPN,branch point number,pubmed,C1552961|C1830425|C2347617|C3714763,Intellectual Product|Quantitative Concept|Spatial Concept,Concepts & Ideas,biologyinspired pulse processing neural networks,pubmed,C0232117|C0391850|C0870951|C1709694|C1947910,Activity|Clinical Attribute|Intellectual Product|Phenomenon or Process|Physiologic Function,Activities & Behaviors|Concepts & Ideas|Phenomena|Physiology,0
GOOD,specimen quality  good,umls,C0205170|C1547867,Qualitative Concept,Concepts & Ideas,language proficiency  good,umls,C0205170|C0678997,Qualitative Concept,Concepts & Ideas,0
ELM,excessive lateral movements,pubmed,C0442802|C0683795,Occupational Activity|Qualitative Concept,Activities & Behaviors|Concepts & Ideas,experimentally induced lung metastases,pubmed,C0153676|C0205263|C1517586,Functional Concept|Neoplastic Process|Qualitative Concept,Concepts & Ideas|Disorders,0
STOLL,stephens n  29 and neostylopyga rhombifolia,pubmed,C1677915|C3843708,Eukaryote|Finding,Disorders|Living Beings,stenoma catenifer wals lepidoptera elachistidae and hypocala andremona,pubmed,C0023338|C1498912|C3420828|C4565504,Eukaryote,Living Beings,0
LAVA,lava system,pubmed,C0449913|C1553451|C3888058|C4318427,Functional Concept|Manufactured Object|Quantitative Concept,Concepts & Ideas|Objects,liver accelerate volume acquisition,pubmed,C0023884|C0449468|C0521110|C1690016|C1705102|C1706701|C2346688|C2700258|C3486713,"Activity|Amino Acid, Peptide, or Protein|Body Part, Organ, or Organ Component|Food|Functional Concept|Intellectual Product|Laboratory Procedure|Pharmacologic Substance|Qualitative Concept|Quantitative Concept",Activities & Behaviors|Anatomy|Chemicals & Drugs|Concepts & Ideas|Objects|Procedures,0
ACL,are cardiolipin|as to cardiolipin|anti cardiolipin|against cardiolipin,pubmed,C0007188,Organic Chemical,Chemicals & Drugs,areca catechu linn,pubmed,C0331487|C0684282,Organic Chemical|Pharmacologic Substance|Plant,Chemicals & Drugs|Living Beings,0
STORE,storage,umls,C0337174|C1698986|C1753314,Cell Component|Functional Concept|Spatial Concept,Anatomy|Concepts & Ideas,human cells tissues and cellular and tissuebased products storage,umls,C0007584|C0007634|C0040300|C0178539|C0337174|C0427861|C0440744|C1514468|C1698986|C1753314,Cell|Cell Component|Entity|Functional Concept|Laboratory Procedure|Laboratory or Test Result|Spatial Concept|Tissue,Anatomy|Concepts & Ideas|Objects|Phenomena|Procedures,0
ALIX,alg2interacting protein x|alginteracting protein x,pubmed,C0208940,"Amino Acid, Peptide, or Protein|Biologically Active Substance",Chemicals & Drugs,pdcd6ip gene|alg2 interacting protein x,"umls,pubmed",C1418407,Gene or Genome,Genes & Molecular Sequences,0
